,Name,Apps,Mins,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Gls/90,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,Con/90,xSv %,Sv %,Svh,Svt,Svp,Pens Saved Ratio,PoM,Aer A/90,Off,Based,Tck R,CA,Saves,Saves/xSv%,Gls/xG,Dist/Mins,Transfer Value,Value
293,Mateus Pasinato,15.0,1350.0,90.0,192.0,88.0,28,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.45,0.0,0.0,97.1,0.0,0.0,0.0,0.0,0.0,1.4,0.0,-0.02,13.0,6.0,37.0,0.0,1.0,0.0,0.0,Portugal (Liga Portugal 2),0.5,112,56.0,0.0,0.0,0.07192592592592592,€12K - €120K,66000.0
294,Bart van Rooij,13.0,1200.0,92.3076923076923,174.0,70.0,21,7.23,0.0,0.0,0.24,0.0,2.71,0.08,0.15,0.75,0.95,0.28,1.5,172.0,0.86,2.0,22.0,2.17,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.15,2.0,Holland (Eerste Divisie),0.76,121,0.0,0.0,0.0,0.14333333333333334,€650K - €6.4M,3525000.0
295,Sergiu Suciu,16.0,1414.0,88.375,184.0,76.0,32,6.92,2.0,0.13,0.31,0.0,1.51,0.6,0.13,0.95,0.94,0.2,0.19,172.8,0.69,1.0,19.0,1.02,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0,Italy (Lega Nazionale Dilettanti E),0.91,101,0.0,0.0,1.3245033112582782,0.12220650636492221,€75K - €250K,162500.0
296,Juary,12.0,1110.0,92.5,185.0,72.0,30,7.19,0.0,0.0,0.3,0.0,0.75,0.63,0.16,0.89,0.94,0.29,0.41,153.2,0.86,1.0,20.0,2.92,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.38,4.0,Portugal (Liga Portugal 2),0.93,101,0.0,0.0,0.0,0.138018018018018,€20K - €65K,42500.0
297,Rony Fernandes,13.0,998.0,76.76923076923077,194.0,92.0,25,6.87,0.0,0.0,0.3,0.0,1.64,0.0,0.0,0.0,0.93,0.0,0.18,114.5,0.87,2.0,12.0,1.98,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.34,0.0,Portugal (Liga Portugal 2),0.92,105,0.0,0.0,0.0,0.11472945891783567,€40K - €130K,85000.0
298,Igor Vekić,11.0,886.0,80.54545454545455,192.0,86.0,24,7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.54,0.0,0.0,54.9,0.0,0.0,0.0,0.0,0.0,1.12,0.0,-0.02,4.0,5.0,14.0,0.0,1.0,0.0,0.0,Slovenia (1. SNL),0.0,109,23.0,0.0,0.0,0.06196388261851016,€26K - €275K,150500.0
299,Mario Burić,11.0,818.0,74.36363636363636,188.0,80.0,31,7.12,0.0,0.0,0.29,0.0,0.73,0.78,0.22,2.09,0.93,0.38,0.22,105.0,0.75,0.0,13.0,0.66,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.93,1.0,Croatia (Druga HNL),0.44,99,0.0,0.0,0.0,0.12836185819070906,€2.5K - €24K,13250.0
300,André Paulo,13.0,1200.0,92.3076923076923,188.0,76.0,25,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.44,0.0,0.0,70.8,0.0,0.0,1.0,0.0,0.0,1.27,0.0,-0.03,6.0,17.0,20.0,0.0,0.0,0.0,0.0,Portugal (Liga Portugal 2),0.5,96,43.0,0.0,0.0,0.059,€1K - €8K,4500.0
301,Jules Sylvestre-Brac,12.0,974.0,81.16666666666667,185.0,75.0,24,6.89,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.74,0.91,0.17,0.92,133.5,0.82,2.0,24.0,2.86,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79,1.0,France (Ligue 2),0.88,108,0.0,0.0,0.0,0.1370636550308008,€50K - €475K,262500.0
302,Léo Pétrot,15.0,1335.0,89.0,188.0,80.0,25,6.71,0.0,0.0,0.29,0.0,1.31,0.07,0.0,0.2,0.9,0.0,0.07,147.6,0.82,2.0,17.0,2.16,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,1.0,France (Ligue 2),0.67,100,0.0,0.0,0.0,0.11056179775280899,€35K - €325K,180000.0
303,Damian van Bruggen,13.0,1170.0,90.0,184.0,81.0,26,6.89,0.0,0.0,0.0,0.0,0.42,0.18,0.0,0.54,0.95,0.0,0.15,157.6,0.86,0.0,16.0,0.85,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54,0.0,Slovenia (1. SNL),0.62,111,0.0,0.0,0.0,0.1347008547008547,€90K - €900K,495000.0
304,Luís Rocha,11.0,990.0,90.0,186.0,83.0,36,7.26,1.0,0.09,0.22,0.0,1.96,0.5,0.0,0.36,0.93,0.0,0.0,117.8,0.83,3.0,8.0,2.73,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,1.0,Portugal (Liga 3 Sul),0.88,91,0.0,0.0,0.5102040816326531,0.11898989898989899,€8K - €26K,17000.0
305,Julián Illanes,11.0,990.0,90.0,188.0,75.0,25,6.98,0.0,0.0,0.2,0.0,1.22,0.1,0.09,0.18,0.93,0.0,0.0,114.9,0.84,0.0,12.0,3.73,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.73,1.0,Italy (Serie B),0.89,98,0.0,0.0,0.0,0.11606060606060607,€30K - €300K,165000.0
306,Tiago Cavadas,11.0,990.0,90.0,183.0,77.0,23,7.12,0.0,0.0,0.23,0.0,2.21,0.0,0.09,0.36,0.94,1.0,0.0,106.7,0.76,2.0,5.0,2.64,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.64,0.0,Portugal (FPF Liga 3),0.67,106,0.0,0.0,0.0,0.10777777777777778,€40K - €400K,220000.0
307,Théo Bloudeau,11.0,976.0,88.72727272727273,188.0,87.0,30,7.43,3.0,0.28,0.38,1.0,1.98,3.84,0.65,1.75,0.89,0.08,0.18,141.7,0.7,0.0,33.0,0.74,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,2.0,6.73,2.0,France (National 2 Groupe A),0.81,92,0.0,0.0,1.5151515151515151,0.1451844262295082,€100K - €325K,212500.0
308,João Afonso,16.0,1440.0,90.0,188.0,81.0,32,7.04,2.0,0.12,0.25,0.0,0.63,0.0,0.06,0.06,0.95,0.0,0.0,172.9,0.81,3.0,7.0,1.75,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.69,0.0,Portugal (Primeira Liga),0.86,118,0.0,0.0,3.1746031746031744,0.12006944444444445,€650K - €6.4M,3525000.0
309,DeJuan Jones,34.0,2990.0,87.94117647058823,176.0,75.0,25,6.84,0.0,0.0,0.0,0.0,0.27,0.12,0.03,0.99,0.9,0.18,0.45,337.0,0.66,5.0,44.0,2.14,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27,3.0,U.S.A. (MLS),0.95,113,0.0,0.0,0.0,0.11270903010033445,€210K - €2.1M,1155000.0
310,Nick Olij,13.0,1170.0,90.0,188.0,80.0,27,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.43,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.02,15.0,10.0,30.0,0.0,2.0,0.0,0.0,Holland (Eredivisie),1.0,113,55.0,0.0,0.0,0.06735042735042734,€1.1M - €2.5M,1800000.0
311,Ozkan Cetiner,11.0,927.0,84.27272727272727,178.0,71.0,21,7.22,1.0,0.1,0.11,0.0,0.24,0.0,0.1,0.29,0.8,0.0,0.19,38.9,0.38,1.0,20.0,0.49,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,Belgium (Eerste nationale),0.7,90,0.0,0.0,4.166666666666667,0.041963322545846816,€8K - €80K,44000.0
312,Luka Begonja,12.0,888.0,74.0,178.0,70.0,30,7.05,1.0,0.1,0.21,0.0,1.51,0.62,0.41,1.82,0.9,0.4,0.2,128.2,0.72,0.0,6.0,1.52,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.65,1.0,Croatia (Druga HNL),0.92,101,0.0,0.0,0.6622516556291391,0.14436936936936937,€14K - €140K,77000.0
313,Sean McDermott,28.0,2520.0,90.0,185.0,81.0,29,7.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.54,0.0,0.0,17.1,0.0,0.0,1.0,0.0,0.0,1.14,0.0,-0.12,3.0,0.0,8.0,0.0,0.0,0.0,0.0,Norway (Eliteserien),0.0,120,11.0,0.0,0.0,0.006785714285714286,€210K - €2.1M,1155000.0
314,Alessandro Livieri,12.0,1080.0,90.0,190.0,75.0,25,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.5,0.0,0.0,79.2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,-0.06,8.0,6.0,7.0,0.0,0.0,0.0,0.0,Italy (Serie C/B),0.0,102,21.0,0.0,0.0,0.07333333333333333,€85K - €850K,467500.0
315,Igor Rodrigues,13.0,1230.0,94.61538461538461,191.0,85.0,27,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.48,0.0,0.0,86.2,0.0,0.0,0.0,0.0,0.0,1.02,0.0,-0.03,15.0,9.0,26.0,0.0,1.0,0.0,0.0,Portugal (Liga Portugal 2),0.0,110,50.0,0.0,0.0,0.07008130081300813,€24K - €240K,132000.0
316,Olexandr Noyok,18.0,1542.0,85.66666666666667,171.0,74.0,30,6.44,2.0,0.12,0.08,0.0,0.19,0.31,0.0,0.12,0.85,0.5,0.06,81.4,0.78,0.0,25.0,0.82,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,Cyprus (A' Katigorías),0.66,103,0.0,0.0,10.526315789473685,0.05278858625162128,€7K - €70K,38500.0
317,Marko Brtan,19.0,1726.0,90.84210526315789,189.0,80.0,31,6.93,1.0,0.05,0.2,0.0,0.22,0.1,0.1,0.42,0.86,0.2,0.0,123.2,0.85,1.0,22.0,0.42,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,Bosnia & Herzegovina (Liga 12),0.88,93,0.0,0.0,4.545454545454546,0.07137891077636153,€12K - €120K,66000.0
318,Adrien Delphis,11.0,889.0,80.81818181818181,180.0,70.0,19,6.62,0.0,0.0,0.36,0.0,0.98,0.1,0.0,1.32,0.87,0.17,2.53,131.6,0.31,0.0,11.0,1.62,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,4.0,France (Ligue 1),0.78,100,0.0,0.0,0.0,0.14803149606299212,€300K - €3M,1650000.0
319,Juri Gonzi,13.0,918.0,70.61538461538461,179.0,79.0,28,6.85,1.0,0.1,0.33,0.0,0.73,1.2,0.2,1.27,0.86,0.36,0.29,118.1,0.75,0.0,16.0,1.18,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,1.0,Italy (Lega Nazionale Dilettanti E),0.93,98,0.0,0.0,1.36986301369863,0.12864923747276688,€35K - €350K,192500.0
320,Kenneth Vermeer,27.0,2437.0,90.25925925925925,182.0,84.0,36,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.56,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,-0.01,4.0,8.0,25.0,0.0,1.0,0.0,0.0,U.S.A. (MLS),0.33,107,37.0,0.0,0.0,0.032416906032006566,€0 - €110K,55000.0
321,Stéphane Sparagna,11.0,968.0,88.0,186.0,82.0,27,6.96,1.0,0.09,0.22,0.0,1.38,0.23,0.09,0.28,0.94,0.0,0.0,108.6,0.7,1.0,5.0,2.23,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,France (National 2 Groupe C),0.73,106,0.0,0.0,0.7246376811594204,0.1121900826446281,€60K - €600K,330000.0
322,Grégoire Amiot,11.0,961.0,87.36363636363636,187.0,81.0,27,7.25,0.0,0.0,0.4,0.0,0.96,0.12,0.0,0.19,0.95,0.0,0.09,110.3,0.82,4.0,9.0,2.34,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.42,1.0,France (National 2 Groupe D),0.93,104,0.0,0.0,0.0,0.11477627471383975,€75K - €750K,412500.0
323,Patrick Rakovsky,26.0,2287.0,87.96153846153847,187.0,83.0,29,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.45,0.0,0.0,75.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,-0.03,15.0,13.0,18.0,0.0,2.0,0.0,0.0,U.S.A. (MLS),0.0,113,46.0,0.0,0.0,0.03292522955837341,€65K - €650K,357500.0
324,Maracás,17.0,1560.0,91.76470588235294,184.0,78.0,28,7.01,0.0,0.0,0.28,0.0,2.87,0.23,0.0,0.0,0.94,0.0,0.23,175.0,0.74,3.0,24.0,1.96,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96,0.0,Portugal (Primeira Liga),0.84,124,0.0,0.0,0.0,0.11217948717948718,€1.8M - €4.2M,3000000.0
325,Boyd Lucassen,13.0,1145.0,88.07692307692308,173.0,71.0,24,6.9,1.0,0.08,0.25,0.0,0.61,0.17,0.08,0.94,0.89,0.21,0.47,147.4,0.76,1.0,17.0,1.97,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,7.0,Holland (Eredivisie),0.83,110,0.0,0.0,1.639344262295082,0.1287336244541485,€130K - €1.3M,715000.0
326,Simon Tibbling,11.0,794.0,72.18181818181819,175.0,74.0,28,7.36,1.0,0.11,0.4,0.0,0.19,0.23,0.34,0.57,0.86,0.66,0.11,41.7,0.73,0.0,14.0,0.11,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,Denmark (Superliga),0.69,117,0.0,0.0,5.2631578947368425,0.052518891687657436,€150K - €1.5M,825000.0
327,Arnau Puigmal,12.0,1009.0,84.08333333333333,175.0,73.0,21,6.86,1.0,0.09,0.42,0.0,2.56,1.24,0.09,1.43,0.88,0.4,0.09,137.6,0.57,0.0,12.0,1.34,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.12,2.0,Portugal (Primeira Liga),0.76,110,0.0,0.0,0.390625,0.13637264618434092,€375K - €1.2M,787500.0
328,Valentin Vanbaleghem,13.0,1170.0,90.0,186.0,82.0,26,7.45,2.0,0.15,0.67,0.0,0.42,0.23,0.54,1.38,0.9,0.37,0.15,145.2,0.78,0.0,26.0,1.62,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,Belgium (1B Pro League),0.85,97,0.0,0.0,4.761904761904762,0.1241025641025641,€170K - €1.7M,935000.0
329,Henry Kessler,21.0,1885.0,89.76190476190476,194.0,84.0,24,6.84,0.0,0.0,0.2,0.0,0.27,0.0,0.05,0.14,0.9,0.0,0.19,187.2,0.76,0.0,16.0,2.2,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03,0.0,U.S.A. (MLS),0.92,108,0.0,0.0,0.0,0.0993103448275862,€220K - €2.2M,1210000.0
330,Nicolas Lemaître,16.0,1440.0,90.0,189.0,83.0,25,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.61,0.0,0.0,94.7,0.0,0.0,0.0,0.0,0.0,0.62,0.0,-0.01,11.0,8.0,28.0,0.0,5.0,0.0,0.0,France (Ligue 2),0.0,104,47.0,0.0,0.0,0.06576388888888889,€75K - €750K,412500.0
331,Manu Hernando,12.0,952.0,79.33333333333333,183.0,70.0,24,7.23,2.0,0.19,0.36,0.0,1.46,0.0,0.0,0.09,0.93,0.0,0.0,112.8,0.75,2.0,6.0,3.59,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.76,0.0,Portugal (Liga Portugal 2),0.91,113,0.0,0.0,1.36986301369863,0.11848739495798319,€210K - €700K,455000.0
332,Alec Georgen,16.0,1330.0,83.125,172.0,69.0,24,6.67,0.0,0.0,0.0,0.0,1.08,0.0,0.07,0.74,0.91,0.26,0.95,194.1,0.67,0.0,18.0,3.59,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,5.0,France (Ligue 2),0.93,108,0.0,0.0,0.0,0.14593984962406015,€30K,15001.5
333,Didier Pino,19.0,1720.0,90.52631578947368,173.0,67.0,27,6.46,1.0,0.05,0.13,0.0,0.0,0.0,0.1,0.0,0.67,0.0,0.0,1.6,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,Colombia (Categoría Primera A),0.94,107,0.0,0.0,0.0,0.0009302325581395349,€8K - €85K,46500.0
334,Jan Boller,12.0,794.0,66.16666666666667,185.0,71.0,22,6.85,1.0,0.11,0.5,0.0,0.19,0.34,0.0,0.34,0.92,0.28,0.34,107.5,0.73,0.0,7.0,1.25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,Austria (Admiral Bundesliga),0.76,111,0.0,0.0,5.2631578947368425,0.1353904282115869,€650K - €6.4M,3525000.0
335,Luuk Brouwers,13.0,1021.0,78.53846153846153,183.0,78.0,24,6.87,0.0,0.0,0.56,0.0,0.97,0.39,0.09,0.79,0.87,0.25,0.0,150.0,0.56,0.0,12.0,1.23,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.41,0.0,Holland (Eredivisie),0.65,113,0.0,0.0,0.0,0.14691478942213515,€700K - €7M,3850000.0
336,William Parra,44.0,3714.0,84.4090909090909,177.0,58.0,27,6.75,1.0,0.02,0.29,0.0,0.67,0.57,0.1,0.22,0.85,0.33,0.05,249.1,0.66,0.0,34.0,0.7,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,Colombia (Categoría Primera A),0.88,107,0.0,0.0,1.4925373134328357,0.06707054388799139,€1.5K - €12K,6750.0
337,Iker Undabarrena,11.0,973.0,88.45454545454545,181.0,77.0,27,6.84,0.0,0.0,0.43,0.0,1.48,0.13,0.0,0.83,0.89,0.14,0.37,137.3,0.7,0.0,8.0,1.02,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,Portugal (Primeira Liga),0.67,116,0.0,0.0,0.0,0.14110996916752314,€75K - €750K,412500.0
338,Marco Fossati,20.0,1566.0,78.3,180.0,73.0,30,7.24,0.0,0.0,0.24,0.0,1.86,2.64,0.52,3.45,0.85,0.25,0.17,237.5,0.71,1.0,10.0,0.98,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.02,0.0,Croatia (Prva HNL),0.67,116,0.0,0.0,0.0,0.1516602809706258,€180K - €1.8M,990000.0
339,William Cuesta,13.0,1195.0,91.92307692307692,195.0,87.0,29,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.98,0.0,-0.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Colombia (Categoría Primera A),0.0,108,3.0,0.0,0.0,0.005774058577405858,€0 - €40K,20000.0
340,Pedro Augusto,15.0,1281.0,85.4,181.0,72.0,25,7.03,1.0,0.07,0.25,0.0,1.48,0.51,0.14,0.91,0.9,0.3,0.07,170.9,0.66,0.0,36.0,1.19,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,1.0,Portugal (Primeira Liga),0.96,122,0.0,0.0,0.6756756756756757,0.13341139734582358,€950K - €2.2M,1575000.0
341,António Ribeiro,11.0,990.0,90.0,180.0,68.0,18,6.97,0.0,0.0,0.2,0.0,0.04,0.22,0.0,0.18,0.84,1.0,0.09,111.4,0.85,1.0,6.0,2.64,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.91,1.0,Portugal (FPF Liga 3),0.56,89,0.0,0.0,0.0,0.11252525252525253,€160K - €1.6M,880000.0
342,Léo Andrade,16.0,1440.0,90.0,190.0,82.0,24,6.98,2.0,0.12,0.5,0.0,0.58,0.0,0.0,0.12,0.95,0.0,0.0,160.3,0.77,1.0,18.0,2.31,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.88,0.0,Portugal (Primeira Liga),1.0,127,0.0,0.0,3.4482758620689657,0.11131944444444446,€2M - €4.5M,3250000.0
343,Anderson,16.0,1452.0,90.75,185.0,71.0,27,6.87,0.0,0.0,0.0,0.0,0.46,0.07,0.0,0.19,0.95,0.0,0.12,169.1,0.74,2.0,8.0,2.11,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81,0.0,Portugal (Primeira Liga),0.77,114,0.0,0.0,0.0,0.11646005509641873,€55K - €550K,302500.0
344,Adrien Julloux,11.0,855.0,77.72727272727273,187.0,78.0,26,7.11,0.0,0.0,0.0,0.0,0.3,0.13,0.32,1.79,0.9,0.25,0.11,121.1,0.84,1.0,6.0,2.11,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,1.0,France (National 2 Groupe C),0.95,95,0.0,0.0,0.0,0.14163742690058478,€140K - €475K,307500.0
345,Vincent Viot,11.0,990.0,90.0,182.0,70.0,28,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.54,0.0,0.0,66.4,0.0,0.0,1.0,0.0,0.0,1.36,0.0,-0.05,5.0,3.0,15.0,0.0,0.0,0.0,0.0,France (National 2 Groupe C),0.0,100,23.0,0.0,0.0,0.06707070707070707,€18K - €180K,99000.0
346,Francesco Rapisarda,12.0,1080.0,90.0,178.0,64.0,30,6.82,0.0,0.0,0.0,0.0,0.0,0.1,0.08,1.42,0.86,0.37,0.17,142.2,0.76,3.0,14.0,3.08,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.0,Italy (Serie B),0.93,100,0.0,0.0,0.0,0.13166666666666665,€50K - €500K,275000.0
347,Carlos Henriques,11.0,938.0,85.27272727272727,185.0,82.0,29,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.53,0.0,0.0,58.6,0.0,0.0,0.0,0.0,0.0,1.44,0.0,-0.04,6.0,5.0,20.0,0.0,0.0,0.0,0.0,Portugal (Liga 3 Sul),0.0,106,31.0,0.0,0.0,0.062473347547974414,€16K - €150K,83000.0
348,Phillip Menzel,13.0,1017.0,78.23076923076923,192.0,85.0,24,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,-0.1,3.0,2.0,4.0,0.0,1.0,0.0,0.0,Austria (ADMIRAL 2. Liga),0.0,118,9.0,0.0,0.0,0.024582104228121928,€500K - €5.2M,2850000.0
349,Chahid el Allachi,11.0,990.0,90.0,175.0,69.0,18,7.18,0.0,0.0,0.17,0.0,0.31,0.27,0.0,1.55,0.92,0.44,0.36,135.2,0.65,0.0,10.0,1.09,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.73,1.0,Holland (Eerste Divisie),0.83,95,0.0,0.0,0.0,0.13656565656565656,€350K - €3.4M,1875000.0
350,Robin Pröpper,13.0,1116.0,85.84615384615384,190.0,80.0,29,7.05,1.0,0.08,0.22,0.0,1.88,0.55,0.16,0.24,0.95,0.5,0.16,127.8,0.84,2.0,13.0,3.71,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.53,0.0,Holland (Eredivisie),0.8,123,0.0,0.0,0.5319148936170213,0.11451612903225807,€700K - €7M,3850000.0
351,Gilberto Sepúlveda,12.0,1080.0,90.0,180.0,78.0,23,7.24,2.0,0.17,0.43,0.0,0.66,0.1,0.08,0.08,0.91,0.0,0.08,80.1,0.82,0.0,13.0,1.67,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83,1.0,Mexico (Liga BBVA MX),0.69,133,0.0,0.0,3.0303030303030303,0.07416666666666666,€3.6M - €7.6M,5600000.0
352,Mikel Villanueva,14.0,1073.0,76.64285714285714,192.0,77.0,29,7.01,0.0,0.0,0.0,0.0,1.05,0.4,0.0,0.25,0.93,0.25,0.17,118.3,0.79,2.0,9.0,3.52,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08,1.0,Portugal (Primeira Liga),1.0,125,0.0,0.0,0.0,0.11025163094128611,€400K - €3.9M,2150000.0
353,Maxime Etuin,16.0,1414.0,88.375,175.0,69.0,27,7.03,3.0,0.19,0.42,1.0,1.23,0.19,0.13,0.89,0.9,0.21,0.32,197.7,0.57,1.0,12.0,1.34,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8,0.0,France (Ligue 2),1.0,100,0.0,0.0,2.4390243902439024,0.1398161244695898,€95K - €950K,522500.0
354,Cristian Tassano,16.0,1440.0,90.0,187.0,80.0,26,6.93,1.0,0.06,0.33,0.0,0.24,0.08,0.06,0.19,0.92,0.33,0.06,166.7,0.77,4.0,14.0,3.25,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.06,0.0,Portugal (Primeira Liga),0.69,114,0.0,0.0,4.166666666666667,0.11576388888888887,€60K - €600K,330000.0
355,Charles Folly,15.0,1312.0,87.46666666666667,190.0,80.0,31,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.47,0.0,0.0,79.9,0.0,0.0,0.0,0.0,0.0,1.51,0.0,-0.01,13.0,8.0,31.0,0.0,1.0,0.0,0.0,France (Ligue 2),1.0,99,52.0,0.0,0.0,0.060899390243902445,€90K - €300K,195000.0
356,Mihael Žaper,22.0,1822.0,82.81818181818181,178.0,74.0,24,6.87,0.0,0.0,0.2,0.0,1.35,2.32,0.1,1.09,0.88,0.09,0.1,246.4,0.76,5.0,11.0,1.09,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.33,0.0,Croatia (Prva HNL),0.84,128,0.0,0.0,0.0,0.13523600439077937,€300K - €3M,1650000.0
357,Andreas Karo,16.0,1415.0,88.4375,190.0,77.0,26,6.88,0.0,0.0,0.0,0.0,1.86,0.35,0.19,0.7,0.91,0.23,0.83,173.8,0.72,4.0,17.0,2.35,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.29,4.0,Cyprus (A' Katigorías),0.84,107,0.0,0.0,0.0,0.12282685512367492,€30K - €300K,165000.0
358,Zdeněk Folprecht,16.0,1198.0,74.875,179.0,68.0,31,7.27,2.0,0.15,0.33,1.0,0.62,0.7,0.53,1.58,0.87,0.57,0.23,138.2,0.6,0.0,10.0,0.83,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,4.0,4.66,1.0,Italy (Lega Nazionale Dilettanti E),0.81,99,0.0,0.0,3.2258064516129035,0.11535893155258764,€140K - €475K,307500.0
359,Simon Pontdemé,11.0,943.0,85.72727272727273,186.0,81.0,34,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.51,0.0,0.0,65.4,0.0,0.0,0.0,0.0,0.0,1.05,0.0,-0.08,4.0,1.0,9.0,0.0,0.0,0.0,0.0,France (National 2 Groupe B),0.0,99,14.0,0.0,0.0,0.06935312831389184,€70K - €230K,150000.0
